full_code	short_code	description	type	n	n_cases	n_controls	source	main_source	file_name	file_sha1	box_share_url	wget_command
100011_raw-Iron	100011_raw	Iron	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100011_raw_ccn30.tsv.gz	cfd7e15b604c914a82a501aca741c898ce3e6710	https://uchicago.box.com/shared/static/7vo6cfax5n0cosczm7uvrqwkw1egmlbm.gz	wget https://uchicago.box.com/shared/static/7vo6cfax5n0cosczm7uvrqwkw1egmlbm.gz -O smultixcan_100011_raw_ccn30.tsv.gz
100012_raw-Vitamin_B6	100012_raw	Vitamin B6	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100012_raw_ccn30.tsv.gz	411e53fc7c8e2de7f35ab7b66441ec2504d38450	https://uchicago.box.com/shared/static/sj4x2b47iq79b241km7c27x0ggnvc481.gz	wget https://uchicago.box.com/shared/static/sj4x2b47iq79b241km7c27x0ggnvc481.gz -O smultixcan_100012_raw_ccn30.tsv.gz
100013_raw-Vitamin_B12	100013_raw	Vitamin B12	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100013_raw_ccn30.tsv.gz	3748069c96180b830338ffbb57a2b08c1853985f	https://uchicago.box.com/shared/static/8fsbceh46zqy9uob5dkihd9lvjcjojrv.gz	wget https://uchicago.box.com/shared/static/8fsbceh46zqy9uob5dkihd9lvjcjojrv.gz -O smultixcan_100013_raw_ccn30.tsv.gz
100014_raw-Folate	100014_raw	Folate	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100014_raw_ccn30.tsv.gz	70c3f2deaf1a39a0b10106671a203033b58edbf5	https://uchicago.box.com/shared/static/e0kr6t83rlf8l6csy36iebpoqz8xxrv7.gz	wget https://uchicago.box.com/shared/static/e0kr6t83rlf8l6csy36iebpoqz8xxrv7.gz -O smultixcan_100014_raw_ccn30.tsv.gz
100015_raw-Vitamin_C	100015_raw	Vitamin C	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100015_raw_ccn30.tsv.gz	814d8f58a7dbd5077b8e00527a2f9fb251519039	https://uchicago.box.com/shared/static/8s97hjg5hlli9m159vd5rx9ilhovwe32.gz	wget https://uchicago.box.com/shared/static/8s97hjg5hlli9m159vd5rx9ilhovwe32.gz -O smultixcan_100015_raw_ccn30.tsv.gz
100016_raw-Potassium	100016_raw	Potassium	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100016_raw_ccn30.tsv.gz	87f2e3ea6235537ddbcaa1a41a4b021719fd7d6c	https://uchicago.box.com/shared/static/yjc06uatka5geysdr8geouejattt7hqu.gz	wget https://uchicago.box.com/shared/static/yjc06uatka5geysdr8geouejattt7hqu.gz -O smultixcan_100016_raw_ccn30.tsv.gz
100017_raw-Magnesium	100017_raw	Magnesium	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100017_raw_ccn30.tsv.gz	e837e42a0ca43269b926fefc9598997b21157692	https://uchicago.box.com/shared/static/m8lzq4d8wovnyzd89fugarmwj2cnujn6.gz	wget https://uchicago.box.com/shared/static/m8lzq4d8wovnyzd89fugarmwj2cnujn6.gz -O smultixcan_100017_raw_ccn30.tsv.gz
100018_raw-Retinol	100018_raw	Retinol	continuous_raw	49890			UK Biobank	Rapid GWAS Project	smultixcan_100018_raw_ccn30.tsv.gz	b593decfea8c01672d8315af73c216614c9abc84	https://uchicago.box.com/shared/static/p9ucntaoahu4udc1a80jrvte8dafzd79.gz	wget https://uchicago.box.com/shared/static/p9ucntaoahu4udc1a80jrvte8dafzd79.gz -O smultixcan_100018_raw_ccn30.tsv.gz
100019_raw-Carotene	100019_raw	Carotene	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100019_raw_ccn30.tsv.gz	352574e312cbc03702257914484520050cb30104	https://uchicago.box.com/shared/static/80hwcjvvcdvmkkrubtrjj9vq3ymgv47r.gz	wget https://uchicago.box.com/shared/static/80hwcjvvcdvmkkrubtrjj9vq3ymgv47r.gz -O smultixcan_100019_raw_ccn30.tsv.gz
100021_raw-Vitamin_D	100021_raw	Vitamin D	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100021_raw_ccn30.tsv.gz	985ca4391c260ee8b2034c6b10ecbfd03fe27843	https://uchicago.box.com/shared/static/t3cmkvi1lac70dzwuxmjzvv2he6efhru.gz	wget https://uchicago.box.com/shared/static/t3cmkvi1lac70dzwuxmjzvv2he6efhru.gz -O smultixcan_100021_raw_ccn30.tsv.gz
100022-Alcohol	100022	Alcohol	ordinal	51453			UK Biobank	Rapid GWAS Project	smultixcan_100022_ccn30.tsv.gz	bdcf18062ab083c4070400d28dfe3428ba872965	https://uchicago.box.com/shared/static/mk5x81t9xa7jhvs76r74km2zb3erc3nf.gz	wget https://uchicago.box.com/shared/static/mk5x81t9xa7jhvs76r74km2zb3erc3nf.gz -O smultixcan_100022_ccn30.tsv.gz
100023_raw-Starch	100023_raw	Starch	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100023_raw_ccn30.tsv.gz	51dd4474fcc556e488293e51f83189e565b1731d	https://uchicago.box.com/shared/static/7ye98erybzvxx0vdovrl47xnvzqe5ieq.gz	wget https://uchicago.box.com/shared/static/7ye98erybzvxx0vdovrl47xnvzqe5ieq.gz -O smultixcan_100023_raw_ccn30.tsv.gz
100024_raw-Calcium	100024_raw	Calcium	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100024_raw_ccn30.tsv.gz	dc6bb3f01beabd866a18afe68287a434d7ccd183	https://uchicago.box.com/shared/static/y94l0f9ge7tucjge4l6r8jpzcc8meq70.gz	wget https://uchicago.box.com/shared/static/y94l0f9ge7tucjge4l6r8jpzcc8meq70.gz -O smultixcan_100024_raw_ccn30.tsv.gz
100025_raw-Vitamin_E	100025_raw	Vitamin E	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100025_raw_ccn30.tsv.gz	bdf6d5e21888d7ff853dec27c09fc79d13654646	https://uchicago.box.com/shared/static/5m65wpso2xeq79bo8oclgpw9643naxno.gz	wget https://uchicago.box.com/shared/static/5m65wpso2xeq79bo8oclgpw9643naxno.gz -O smultixcan_100025_raw_ccn30.tsv.gz
1001-Duration_of_strenuous_sports	1001	Duration of strenuous sports	ordinal	36919			UK Biobank	Rapid GWAS Project	smultixcan_1001_ccn30.tsv.gz	cc0248b9c0b9d2fa1b9656f11848466cecaa8de2	https://uchicago.box.com/shared/static/cqguu20oi3sm191z1aj2kka23bo9l41c.gz	wget https://uchicago.box.com/shared/static/cqguu20oi3sm191z1aj2kka23bo9l41c.gz -O smultixcan_1001_ccn30.tsv.gz
100150-Drinking_water_intake	100150	Drinking water intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100150_ccn30.tsv.gz	0de2b85b9af7947055272868d11c9fad24d4afe4	https://uchicago.box.com/shared/static/3gkjqkm7cm9v1s5pinrratlzsyqs9wbx.gz	wget https://uchicago.box.com/shared/static/3gkjqkm7cm9v1s5pinrratlzsyqs9wbx.gz -O smultixcan_100150_ccn30.tsv.gz
100160-Low_calorie_drink_intake	100160	Low calorie drink intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100160_ccn30.tsv.gz	835c5bf92e214c5b11b6881baf58d6b0c18a4571	https://uchicago.box.com/shared/static/c5gnzc4w0xxzg0ymmeggqwk6uqgxaf7i.gz	wget https://uchicago.box.com/shared/static/c5gnzc4w0xxzg0ymmeggqwk6uqgxaf7i.gz -O smultixcan_100160_ccn30.tsv.gz
100170-Fizzy_drink_intake	100170	Fizzy drink intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100170_ccn30.tsv.gz	95c5e472c5440e37f6d73e94269c226e980ce184	https://uchicago.box.com/shared/static/8hth1k3cavehdtkojpfu6ete00p4v1ix.gz	wget https://uchicago.box.com/shared/static/8hth1k3cavehdtkojpfu6ete00p4v1ix.gz -O smultixcan_100170_ccn30.tsv.gz
100190-Orange_juice_intake	100190	Orange juice intake	ordinal	51414			UK Biobank	Rapid GWAS Project	smultixcan_100190_ccn30.tsv.gz	7855626979e5565e3e32bea2bc3d8881c1380fdf	https://uchicago.box.com/shared/static/9dar8d12kbdc0401sbzqeta63dc9frci.gz	wget https://uchicago.box.com/shared/static/9dar8d12kbdc0401sbzqeta63dc9frci.gz -O smultixcan_100190_ccn30.tsv.gz
100240-Coffee_consumed	100240	Coffee consumed	binary	51427	36318	15109	UK Biobank	Rapid GWAS Project	smultixcan_100240_ccn30.tsv.gz	a89efed16a17372301b4a86b8d0dd29259c31cee	https://uchicago.box.com/shared/static/vta9dkajz19npbwdi8qalqtw8k4pg481.gz	wget https://uchicago.box.com/shared/static/vta9dkajz19npbwdi8qalqtw8k4pg481.gz -O smultixcan_100240_ccn30.tsv.gz
100250-Instant_coffee_intake	100250	Instant coffee intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100250_ccn30.tsv.gz	ad0eba0d2672eb7cd2d5eb80cabb2d44f9a5369d	https://uchicago.box.com/shared/static/3ion17o4jvm22jdtl1cbsuuzkrzy8v9f.gz	wget https://uchicago.box.com/shared/static/3ion17o4jvm22jdtl1cbsuuzkrzy8v9f.gz -O smultixcan_100250_ccn30.tsv.gz
100260-Added_milk_to_instant_coffee	100260	Added milk to instant coffee	binary	51427	30297	21130	UK Biobank	Rapid GWAS Project	smultixcan_100260_ccn30.tsv.gz	69448cc489a98ae2428e15408e98877a4031637b	https://uchicago.box.com/shared/static/y7fbajxuk9ewmcpbpo00hqrz6ku9bmxp.gz	wget https://uchicago.box.com/shared/static/y7fbajxuk9ewmcpbpo00hqrz6ku9bmxp.gz -O smultixcan_100260_ccn30.tsv.gz
100270-Filtered_coffee_intake	100270	Filtered coffee intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100270_ccn30.tsv.gz	dc27c3c25473c3eb541be8be4cff4ae1fecdf60a	https://uchicago.box.com/shared/static/dzv2h7jeea0ko15kt29kdrvgj7rzu8b6.gz	wget https://uchicago.box.com/shared/static/dzv2h7jeea0ko15kt29kdrvgj7rzu8b6.gz -O smultixcan_100270_ccn30.tsv.gz
100280-Added_milk_to_filtered_coffee	100280	Added milk to filtered coffee	binary	51427	44669	6758	UK Biobank	Rapid GWAS Project	smultixcan_100280_ccn30.tsv.gz	29329e0d4d42ddf90e01401a8a217c99d2a378cd	https://uchicago.box.com/shared/static/f7gymsp3sfkgn1ug8cq3xecm490ai70w.gz	wget https://uchicago.box.com/shared/static/f7gymsp3sfkgn1ug8cq3xecm490ai70w.gz -O smultixcan_100280_ccn30.tsv.gz
100360-Decaffeinated_coffee	100360	Decaffeinated coffee	binary	51427	45548	5879	UK Biobank	Rapid GWAS Project	smultixcan_100360_ccn30.tsv.gz	bd8cdbd59b9ce152472e30fde3cd110a7d180849	https://uchicago.box.com/shared/static/tpk3ykmw31o6bsqawhie1bengrym6s0i.gz	wget https://uchicago.box.com/shared/static/tpk3ykmw31o6bsqawhie1bengrym6s0i.gz -O smultixcan_100360_ccn30.tsv.gz
100370-Intake_of_sugar_added_to_coffee	100370	Intake of sugar added to coffee	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100370_ccn30.tsv.gz	f651e0eeeb114adfa748def35c182793ecbce841	https://uchicago.box.com/shared/static/pnxtdaz57hni0jmhletmd6nm5vn1fs0b.gz	wget https://uchicago.box.com/shared/static/pnxtdaz57hni0jmhletmd6nm5vn1fs0b.gz -O smultixcan_100370_ccn30.tsv.gz
100390-Tea_consumed	100390	Tea consumed	binary	51427	41078	10349	UK Biobank	Rapid GWAS Project	smultixcan_100390_ccn30.tsv.gz	4ec41bc7636c6bd4ca5af94f0abeb498ed798671	https://uchicago.box.com/shared/static/8lk0m9vn4j3z9pvzz6y2cxz7omgrutvg.gz	wget https://uchicago.box.com/shared/static/8lk0m9vn4j3z9pvzz6y2cxz7omgrutvg.gz -O smultixcan_100390_ccn30.tsv.gz
100400-Standard_tea_intake	100400	Standard tea intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100400_ccn30.tsv.gz	90109c2aee78e7b08e20cc03e8b1a1331a82f76f	https://uchicago.box.com/shared/static/xig6x02wg9huq26w6rn3jkwaitijkxcc.gz	wget https://uchicago.box.com/shared/static/xig6x02wg9huq26w6rn3jkwaitijkxcc.gz -O smultixcan_100400_ccn30.tsv.gz
100460-Added_milk_to_standard_tea	100460	Added milk to standard tea	binary	51427	17686	33741	UK Biobank	Rapid GWAS Project	smultixcan_100460_ccn30.tsv.gz	61390afe91b12d716e5e90a2854f637786297d41	https://uchicago.box.com/shared/static/xzyhy1ub78ka2d54fpuafuhrfmwymfne.gz	wget https://uchicago.box.com/shared/static/xzyhy1ub78ka2d54fpuafuhrfmwymfne.gz -O smultixcan_100460_ccn30.tsv.gz
100520-Milk_intake	100520	Milk intake	ordinal	51413			UK Biobank	Rapid GWAS Project	smultixcan_100520_ccn30.tsv.gz	ee6aa9276f5d534b84c3e1cf792dc1add568722a	https://uchicago.box.com/shared/static/z35ukx1nmdsdf5r9kdxg1eic8agbdxry.gz	wget https://uchicago.box.com/shared/static/z35ukx1nmdsdf5r9kdxg1eic8agbdxry.gz -O smultixcan_100520_ccn30.tsv.gz
100580-Alcohol_consumed	100580	Alcohol consumed	binary	51427	25436	25991	UK Biobank	Rapid GWAS Project	smultixcan_100580_ccn30.tsv.gz	73d95edd8cc4e01565192a60ec5f14690387aadf	https://uchicago.box.com/shared/static/odovkww1nx3bvzdk9x2od8s5iz7yu2k2.gz	wget https://uchicago.box.com/shared/static/odovkww1nx3bvzdk9x2od8s5iz7yu2k2.gz -O smultixcan_100580_ccn30.tsv.gz
100590-Red_wine_intake	100590	Red wine intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100590_ccn30.tsv.gz	5f07c35911862f7bcf0ab6bb04f66a38436ecc75	https://uchicago.box.com/shared/static/06u0awnuqerxkfr5qvjh31t0wa3yrpio.gz	wget https://uchicago.box.com/shared/static/06u0awnuqerxkfr5qvjh31t0wa3yrpio.gz -O smultixcan_100590_ccn30.tsv.gz
100630-Rose_wine_intake	100630	Rose wine intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100630_ccn30.tsv.gz	7f9af61d5d7408fb2b2bae468101380f48cded7f	https://uchicago.box.com/shared/static/g3b2r1xfqr2w29jfzqycery44v1sxhlw.gz	wget https://uchicago.box.com/shared/static/g3b2r1xfqr2w29jfzqycery44v1sxhlw.gz -O smultixcan_100630_ccn30.tsv.gz
100670-White_wine_intake	100670	White wine intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100670_ccn30.tsv.gz	a70df6a5cb7d46a130d22839cf8bffbbee2badf5	https://uchicago.box.com/shared/static/w445ub9vlafws2noowmbdv97wss7hzxn.gz	wget https://uchicago.box.com/shared/static/w445ub9vlafws2noowmbdv97wss7hzxn.gz -O smultixcan_100670_ccn30.tsv.gz
100710-Beercider_intake	100710	Beer/cider intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100710_ccn30.tsv.gz	1894558c88f3c0d30b0c8f0ccce81071368dcf05	https://uchicago.box.com/shared/static/5buqurx0b33qxa4i39a8wnj1r64jerzg.gz	wget https://uchicago.box.com/shared/static/5buqurx0b33qxa4i39a8wnj1r64jerzg.gz -O smultixcan_100710_ccn30.tsv.gz
100720-Fortified_wine_intake	100720	Fortified wine intake	ordinal	51416			UK Biobank	Rapid GWAS Project	smultixcan_100720_ccn30.tsv.gz	a0d2416f01894a14a53c31ba3cae8ecac0f98161	https://uchicago.box.com/shared/static/qu49jvuoitk32dnahnuyqsrk64k9c2as.gz	wget https://uchicago.box.com/shared/static/qu49jvuoitk32dnahnuyqsrk64k9c2as.gz -O smultixcan_100720_ccn30.tsv.gz
100730-Spirits_intake	100730	Spirits intake	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100730_ccn30.tsv.gz	674222aa8f76844e4f33d27a7066ac6dc897d5be	https://uchicago.box.com/shared/static/pppkc153shsz6i6aqnyac069oklijpjk.gz	wget https://uchicago.box.com/shared/static/pppkc153shsz6i6aqnyac069oklijpjk.gz -O smultixcan_100730_ccn30.tsv.gz
100760-Breakfast_cereal_consumed	100760	Breakfast cereal consumed	binary	51427	34069	17358	UK Biobank	Rapid GWAS Project	smultixcan_100760_ccn30.tsv.gz	d31f6cab8705124968670e16e8b47e64a79f2dfb	https://uchicago.box.com/shared/static/ax5z2aseapa1g33wns5hzmj04ll07jwj.gz	wget https://uchicago.box.com/shared/static/ax5z2aseapa1g33wns5hzmj04ll07jwj.gz -O smultixcan_100760_ccn30.tsv.gz
100890-Milk_added_to_cereal	100890	Milk added to cereal	binary	51427	22510	28917	UK Biobank	Rapid GWAS Project	smultixcan_100890_ccn30.tsv.gz	50fd861b4cf1cee0f80474face36048f6d37ff93	https://uchicago.box.com/shared/static/hafj3iinls1zoz270mdr6itga94whapr.gz	wget https://uchicago.box.com/shared/static/hafj3iinls1zoz270mdr6itga94whapr.gz -O smultixcan_100890_ccn30.tsv.gz
100920_0-Type_milk_consumed_did_not_have_milk	100920_0	Type milk consumed: did not have milk	binary	51427	2529	48898	UK Biobank	Rapid GWAS Project	smultixcan_100920_0_ccn30.tsv.gz	20d3838bb065f68f91d2879923139828d1131429	https://uchicago.box.com/shared/static/0lb9f43k76fexbcmmsecz4hrvt9iuput.gz	wget https://uchicago.box.com/shared/static/0lb9f43k76fexbcmmsecz4hrvt9iuput.gz -O smultixcan_100920_0_ccn30.tsv.gz
100920_2102-Type_milk_consumed_semiskimmed	100920_2102	Type milk consumed: semiskimmed	binary	51427	31930	19497	UK Biobank	Rapid GWAS Project	smultixcan_100920_2102_ccn30.tsv.gz	6c4dc3ac06272945328486b15fc2933baa0d56db	https://uchicago.box.com/shared/static/h0ax5oqsbrmyghtdqejigb1cxtq4xwq6.gz	wget https://uchicago.box.com/shared/static/h0ax5oqsbrmyghtdqejigb1cxtq4xwq6.gz -O smultixcan_100920_2102_ccn30.tsv.gz
100920_2103-Type_milk_consumed_skimmed	100920_2103	Type milk consumed: skimmed	binary	51427	10533	40894	UK Biobank	Rapid GWAS Project	smultixcan_100920_2103_ccn30.tsv.gz	48a66f8a7aa13f40983c8fdd0286a8720fd80ff6	https://uchicago.box.com/shared/static/h9vtoxctmq17gbc9a3mg1j5v3xlj6w9m.gz	wget https://uchicago.box.com/shared/static/h9vtoxctmq17gbc9a3mg1j5v3xlj6w9m.gz -O smultixcan_100920_2103_ccn30.tsv.gz
100920_2104-Type_milk_consumed_wholemilk	100920_2104	Type milk consumed: wholemilk	binary	51427	2934	48493	UK Biobank	Rapid GWAS Project	smultixcan_100920_2104_ccn30.tsv.gz	00ba0dde81a582fabec42301901b6f5353d62cdc	https://uchicago.box.com/shared/static/7mbt5o82zfva70aj6hh640zfyt1di34o.gz	wget https://uchicago.box.com/shared/static/7mbt5o82zfva70aj6hh640zfyt1di34o.gz -O smultixcan_100920_2104_ccn30.tsv.gz
100920_2105-Type_milk_consumed_soya_with_calcium	100920_2105	Type milk consumed: soya with calcium	binary	51427	1546	49881	UK Biobank	Rapid GWAS Project	smultixcan_100920_2105_ccn30.tsv.gz	a11db30a71e94aa3f3e99ce637283384630ed559	https://uchicago.box.com/shared/static/f88rl99tqpg7t33de0y4149etvo367nw.gz	wget https://uchicago.box.com/shared/static/f88rl99tqpg7t33de0y4149etvo367nw.gz -O smultixcan_100920_2105_ccn30.tsv.gz
100920_2106-Type_milk_consumed_soya_without_calcium	100920_2106	Type milk consumed: soya without calcium	binary	51427	664	50763	UK Biobank	Rapid GWAS Project	smultixcan_100920_2106_ccn30.tsv.gz	b2ccf28a0717e60405e42da721ea06b6a8d7ed2e	https://uchicago.box.com/shared/static/brrcsvtx273v13t66z35gvrvrlqhr129.gz	wget https://uchicago.box.com/shared/static/brrcsvtx273v13t66z35gvrvrlqhr129.gz -O smultixcan_100920_2106_ccn30.tsv.gz
100920_2107-Type_milk_consumed_goatsheep_milk	100920_2107	Type milk consumed: goat/sheep milk	binary	51427	332	51095	UK Biobank	Rapid GWAS Project	smultixcan_100920_2107_ccn30.tsv.gz	0a3e639158a56c591a7160c243b38cbae1454bc4	https://uchicago.box.com/shared/static/r4jciz1iy23j56frvoqs03gfmp4f93uu.gz	wget https://uchicago.box.com/shared/static/r4jciz1iy23j56frvoqs03gfmp4f93uu.gz -O smultixcan_100920_2107_ccn30.tsv.gz
100920_2108-Type_milk_consumed_riceoatvegetable_milk	100920_2108	Type milk consumed: rice/oat/vegetable milk	binary	51427	299	51128	UK Biobank	Rapid GWAS Project	smultixcan_100920_2108_ccn30.tsv.gz	27edbb7bd6b1ee33713d0af1d4834f62dac8fe4d	https://uchicago.box.com/shared/static/48wy3a2wz5v61ig4aq5zmsiyd0imjws3.gz	wget https://uchicago.box.com/shared/static/48wy3a2wz5v61ig4aq5zmsiyd0imjws3.gz -O smultixcan_100920_2108_ccn30.tsv.gz
100920_2109-Type_milk_consumed_powdered_milk	100920_2109	Type milk consumed: powdered milk	binary	51427	227	51200	UK Biobank	Rapid GWAS Project	smultixcan_100920_2109_ccn30.tsv.gz	7651b6ec87be688d21e95a804ecf8b65161b8668	https://uchicago.box.com/shared/static/z7avdt3hy4ooh8gr88negiogxb1jdgfm.gz	wget https://uchicago.box.com/shared/static/z7avdt3hy4ooh8gr88negiogxb1jdgfm.gz -O smultixcan_100920_2109_ccn30.tsv.gz
100920_2110-Type_milk_consumed_cholesterol_lowering_milk	100920_2110	Type milk consumed: cholesterol lowering milk	binary	51427	101	51326	UK Biobank	Rapid GWAS Project	smultixcan_100920_2110_ccn30.tsv.gz	62fe57e0a86e812fb4499ca1746d83ea5300c187	https://uchicago.box.com/shared/static/o1vj0e0ckndd0alec1j2vumswwjul402.gz	wget https://uchicago.box.com/shared/static/o1vj0e0ckndd0alec1j2vumswwjul402.gz -O smultixcan_100920_2110_ccn30.tsv.gz
100920_2199-Type_milk_consumed_other_type_of_milk	100920_2199	Type milk consumed: other type of milk	binary	51427	232	51195	UK Biobank	Rapid GWAS Project	smultixcan_100920_2199_ccn30.tsv.gz	7a60c675695a1f7bf7e99db2cce26e0a91cf96b7	https://uchicago.box.com/shared/static/zjhm55s0tfhjximxvnjopgxvdasjrh1v.gz	wget https://uchicago.box.com/shared/static/zjhm55s0tfhjximxvnjopgxvdasjrh1v.gz -O smultixcan_100920_2199_ccn30.tsv.gz
100940-Bread_consumed	100940	Bread consumed	binary	51427	44112	7315	UK Biobank	Rapid GWAS Project	smultixcan_100940_ccn30.tsv.gz	f0e96f87e32d6a6aba63c71c1d2a759f3ae0e8e3	https://uchicago.box.com/shared/static/x6dg6o9pf5gmshe67drern1x0bxe5rzf.gz	wget https://uchicago.box.com/shared/static/x6dg6o9pf5gmshe67drern1x0bxe5rzf.gz -O smultixcan_100940_ccn30.tsv.gz
